// Line format:
// title, source, episode-length, season-lengths, last-watched-episode
//
// season-lengths: dot-delimited; for compound seasons, join segments with +
// last-watched-episode: use S1E1 format; in compound seasons, count episodes
//   from start of season
//
// Example:
// BoJack Horseman, Netflix, ½ hour, 12.12.12.12.12.8+8, S6E9

Battlestar Galactica, DVD, 1 hour, 13.10+10.20+2.10+11, S2E1
Better Call Saul, Netflix, 1 hour, 10.10.10.10.10.13, S2E6
BoJack Horseman, Netflix, ½ hour, 12.12.12.12.12.8+8, S6E3
Counterpart, Amazon Prime, 1 hour, 10.10, S1E1
Dead to Me, Netflix, ½ hour, 10.10.10, S1E2
For All Mankind, Apple TV+, 1 hour, 10.10.10, S2
Los Espookys, HBO, ½ hour, 6, S1E1
Run, HBO, ½ hour, 7, S1E5
Stranger Things, Netflix, 1 hour, 8.8.8, S3E1
Superstore, Hulu, ½ hour, 11.22.22.22.21.15, S2E10
Ted Lasso, Apple TV, ½ hour, 10.12, S2E4
